Game,NRUL,MGOP,NPLY,ANIM,MAP,UNU,NP,GF,SLOC
TripleA,146,1185,20,11,51,13,7,53,50000
FreeCiv,419,2943,126,17,13,50,3,94,300000
Battle for Wesnoth,147,1322,9,29,56,237,3,54,200000
Advanced Strategic Command,129,832,4,13,130,162,3,50,100000
Scotland Yard,24,30,1,5,1,2,1,53,15000
Strategy Warzone,200,1200,15,10,70,150,3,65,120000
Empire Clash,300,2000,50,12,40,120,3,80,250000
BattlefrontX,175,1100,10,7,60,100,3,58,95000
TurnMaster,90,600,2,5,30,10,2,55,50000
GameTactics,210,1800,30,13,85,200,3,70,300000
WarCraftX,180,1300,15,12,60,140,3,68,150000
LegendsUnfold,250,2200,55,15,45,160,3,72,270000
BattleGalaxy,320,2400,35,14,70,180,3,85,290000
StrategicEmpire,300,2000,25,11,50,100,3,75,200000
HeroesOfWar,210,1600,20,10,55,90,3,63,160000
CommandersElite,140,800,5,7,30,50,2,55,80000
GloryBattle,195,1450,10,8,35,80,3,60,95000
GalaxyFight,275,1900,30,12,65,120,3,70,240000
PowerTactics,290,2100,40,13,75,160,3,77,260000
MasterStrategy,315,2500,45,14,80,200,3,88,300000
